Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #192,Boku dake ga Inai Machi,8.34,"Genres: Mystery, Psychological, Supernatural, Seinen","Members 1,583,104",Type: TV,Episodes: 12,Licensors: Aniplex of America,Studios: A-1 Pictures,Source: Manga,Duration: 23 min. per ep.,Premiered: Winter 2016,"Favorites: 38,457"
Ranked #193,Gintama: Shiroyasha Koutan,8.34,"Genres: Action, Sci-Fi, Comedy, Historical, Parody","Members 57,104",Type: Special,Episodes: 1,"Licensors: None found, add some",Studios: Sunrise,Source: Manga,Duration: 10 min.,Null,Favorites: 74
Ranked #194,Kemono no Souja Erin,8.34,"Genres: Drama, Fantasy, Slice of Life","Members 72,374",Type: TV,Episodes: 50,"Licensors: None found, add some","Studios: Production I.G, Trans Arts",Source: Novel,Duration: 25 min. per ep.,Premiered: Winter 2009,"Favorites: 1,368"
Ranked #195,Luo Xiao Hei Zhan Ji (Movie),8.34,"Genres: Adventure, Drama, Fantasy","Members 10,878",Type: Movie,Episodes: 1,"Licensors: None found, add some","Studios: None found, add some",Source: Original,Duration: 1 hr. 41 min.,Null,Favorites: 153
Ranked #196,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Genres: Sci-Fi, Adventure, Mystery, Drama, Fantasy","Members 74,003",Type: Movie,Episodes: 1,Licensors: Sentai Filmworks,Studios: Kinema Citrus,Source: Web manga,Duration: 1 hr. 45 min.,Null,Favorites: 100
Ranked #197,Mobile Suit Gundam: The Origin,8.34,"Genres: Action, Mecha, Military, Sci-Fi, Shounen, Space","Members 56,282",Type: OVA,Episodes: 6,Licensors: NYAV Post,Studios: Sunrise,Source: Manga,Duration: 1 hr. 11 min. per ep.,Null,Favorites: 623
Ranked #198,Doukyuusei (Movie),8.33,"Genres: Slice of Life, Romance, School, Shounen Ai","Members 190,485",Type: Movie,Episodes: 1,Licensors: Aniplex of America,Studios: A-1 Pictures,Source: Manga,Duration: 1 hr.,Null,"Favorites: 4,299"
Ranked #199,Douluo Dalu: Xingdou Xian Ji Pian,8.33,"Genres: Action, Adventure, Historical, Romance, Martial Arts, Fantasy","Members 2,739",Type: ONA,Episodes: 13,"Licensors: None found, add some",Studios: Sparkly Key Animation Studio,Source: Novel,Duration: 20 min. per ep.,Null,Favorites: 21
Ranked #200,Evangelion: 2.0 You Can (Not) Advance,8.33,"Genres: Action, Sci-Fi, Psychological, Drama, Mecha","Members 385,698",Type: Movie,Episodes: 1,Licensors: Funimation,Studios: Khara,Source: Original,Duration: 1 hr. 52 min.,Null,"Favorites: 2,691"
Ranked #201,Fate/stay night: Unlimited Blade Works 2nd Season,8.33,"Genres: Action, Fantasy, Magic, Supernatural","Members 678,227",Type: TV,Episodes: 13,Licensors: Aniplex of America,Studios: ufotable,Source: Visual novel,Duration: 24 min. per ep.,Premiered: Spring 2015,"Favorites: 7,605"
